hour_of_day,member_casual,total_trips
17,casual,125749
19,casual,88145
14,casual,101035
10,casual,51857
8,casual,28577
11,casual,71868
18,casual,114413
13,casual,95465
15,casual,106510
21,casual,44306
20,casual,61749
23,casual,31319
22,casual,39057
12,casual,87351
16,casual,112883
7,casual,20797
9,casual,36227
2,casual,6867
0,casual,19706
6,casual,11547
5,casual,4672
1,casual,12266
4,casual,2829
3,casual,3584
14,member,126330
6,member,61155
17,member,225278
20,member,76819
18,member,184194
15,member,144541
13,member,126919
19,member,126090
10,member,88394
16,member,185988
7,member,108637
8,member,124928
11,member,110029
5,member,18821
9,member,90202
23,member,20714
12,member,128347
22,member,31817
21,member,46685
4,member,3752
3,member,2070
1,member,6000
0,member,10727
2,member,3285